,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Slc9a1,331.032560704058,-0.237493701230817,0.181657311927952,-1.30737209920298,0.191086368354268,0.893865807093549
Cd302,88.9337477159257,-0.0930594642503969,0.257276552650161,-0.361709853819976,0.71756886269162,0.997781340337504
Serpinb1a,186.203977984685,0.122039835662482,0.188226155324947,0.648368105122248,0.516746894286001,0.997781340337504
Yipf4,508.278113169747,-0.244199030425405,0.240505091816113,-1.01535908691744,0.309934688116063,0.97734394978963
Eri3,513.908500765732,-0.149050282329535,0.13527550850795,-1.10182755159094,0.270536649989506,0.971641113815759
Calr3,15.6585350413951,0.527572698063867,0.544674929164433,0.96860103121177,0.332744288661273,NA
BC024978,78.6437048078589,-0.394683304521144,0.257584198901777,-1.53224967293761,0.125460835042806,0.81413620008408
Trim34b,42.498359916511,0.240434383025019,0.349025649808373,0.688873104761857,0.490903125857238,0.997781340337504
Ccdc8,1.84560727955013,-1.05847137143812,1.70486249254978,-0.620854395039847,0.534695429680313,NA
Apobec1,92.6405860780937,0.107183624908043,0.271243779263245,0.395156066617181,0.6927277134841,0.997781340337504
Marchf5,312.480843888277,-0.0678331239063303,0.210012943609059,-0.322994967551153,0.746699053292809,0.997787734387346
Hpgds,40.6542177549899,0.516752275424504,0.340207174078555,1.51893409309818,0.128779086329399,0.822704402193569
S100a5,3.24899034952865,-0.62084232339644,1.35467970753359,-0.458294547370746,0.646740840987681,NA
Gm15511,5.93389460445549,0.269938695787881,0.989387682649045,0.272834097818088,0.784980747296427,NA
Cdc42ep2,2.13512116553502,-1.96353893681148,1.68916931095043,-1.16242872995761,0.245061358849564,NA
Exoc8,226.613052970476,0.255426456445222,0.206227820265425,1.23856449685826,0.215506822900052,0.926426242157988
Gmip,1590.16058850979,-0.211965390068598,0.120228177633796,-1.76302589160276,0.0778961229099848,0.73074803138135
Mir21a,7.34821208504246,-0.393568475699251,0.720947954659757,-0.545904143503661,0.585131830000945,NA
Mir20a,3.45247835441944,0.0729114020608912,1.25107159969443,0.0582791601045851,0.953526267123573,NA
Ttc30b,12.8924953825448,0.0797991246068557,0.747446488408734,0.106762324586932,0.914977537215311,NA
Tollip,2014.31703802716,0.123288861247474,0.1479732211874,0.833183600776898,0.404741189965795,0.997781340337504
Exd1,20.855590090213,-0.359587045599506,0.535385138831104,-0.671641813563569,0.501811752180642,NA
Zfp770,47.5487521404136,0.364823580431584,0.358390146508596,1.01795092299736,0.308701279594047,0.97734394978963
Cep290,27.2947602401004,0.793078287913766,0.448118015464704,1.7697978223244,0.0767608267980097,NA
Llgl2,85.8335731292417,-0.0878804651410509,0.278465658934626,-0.315588160770956,0.752315125115817,0.99880848757652
Rft1,176.959174976372,0.0127929745007739,0.182378714967578,0.0701451071362582,0.944078164792975,0.99976360228866
Stc2,5.15991912123387,-0.252066700142021,0.952609799940915,-0.264606452880976,0.791312648600905,NA
Klhl42,161.327827415484,0.0424199001355822,0.284443823331646,0.149132787060462,0.881448854836681,0.99976360228866
Ubash3b,747.114621050958,0.066495940991955,0.13829344709187,0.480832189740568,0.630635770225467,0.997781340337504
Neil1,1071.62564944424,-0.0160762867560416,0.154232611667397,-0.104234030548029,0.916983628578813,0.99976360228866
Gm38431,1.35747219326358,-0.0662471042629684,1.89305997275599,-0.0349947203027717,0.972083950884356,NA
Serpine1,1.0495027471411,-2.7021621563262,2.49347226581579,-1.08369449035846,0.278500279318797,NA
Zscan2,17.7572230531697,0.326855968484534,0.530465586788073,0.616168092003142,0.537783585250052,NA
Zfand5,424.725003264098,-0.0429741428917115,0.196890457873046,-0.218264223446629,0.827223247999506,0.99976360228866
Trim25,810.434359117829,0.0564547845234435,0.132356971975371,0.426534270774559,0.669718581307123,0.997781340337504
Brd7,463.628145066131,0.0813890901054445,0.140760658940212,0.578209072891698,0.563122974028831,0.997781340337504
Slc25a10,153.222971938443,0.131510434709009,0.211265008387492,0.62249037695726,0.533619469465072,0.997781340337504
Ppib,1297.59096663577,0.0992388206593532,0.128309995052253,0.773430165116439,0.43926784344131,0.997781340337504
Pparg,1.92734806472635,-0.130703642144142,1.6836792896116,-0.0776297736454869,0.938122557896774,NA
Ppara,2.13601436439975,0.208910054740437,1.63709636888924,0.127610114291672,0.898457526531297,NA
Sgsh,240.585452221162,0.133427550736107,0.17004205207399,0.784673844550224,0.432644821804961,0.997781340337504
Cybb,35.3776768293174,0.549515675219628,0.408441969742838,1.34539473395844,0.178497794947935,0.888571306199497
Aebp2,1047.47553970666,0.0827193008434726,0.126903475475827,0.651828490380703,0.514511820167481,0.997781340337504
Aebp1,3.98296152941149,-1.58956125188479,1.53482271638886,-1.0356644027427,0.300358734920306,NA
Clca3a1,1.69910234840791,-0.046349136892256,1.76259104418911,-0.0262960242791766,0.979021225981905,NA
1700012D01Rik,21.1969482524759,-0.787578844512064,0.48112174479398,-1.63696372702779,0.101638048911077,NA
Pdcd5,658.925324355527,0.00605986866783256,0.114473789322218,0.0529367351575597,0.957782314993925,0.99976360228866
Ppm1d,150.458446681241,0.124398102039992,0.224553526118363,0.553979731204138,0.57959271726845,0.997781340337504
Tsnax,957.181885719728,-0.102100313801325,0.18965504713345,-0.538347464749952,0.590337188361297,0.997781340337504
Pi16,6.98456410104118,-0.354127838313979,0.754892708627558,-0.469110158657918,0.638990898168304,NA
Abce1,1611.30479851941,0.212686867965506,0.128882905834788,1.65023333845486,0.0988952205747843,0.775524155587485
Sigirr,1099.4558977553,0.0912645219288946,0.110971053641304,0.822417368622026,0.410839397551626,0.997781340337504
Abcb6,118.020559878995,-0.323505718169591,0.242572563310241,-1.33364513181089,0.182320184526978,0.889234178601661
Ccdc86,574.266964983561,0.00570623732944253,0.156842083228061,0.0363820551984457,0.970977722583391,0.99976360228866
Gng2,321.658499909328,0.334233026427433,0.15397260834097,2.17073043074831,0.0299515554768486,0.53888708113289
Gpr137c,2.83256313009485,-1.88628427089042,1.41056995802816,-1.33724971253979,0.181141139721136,NA
Zfp382,169.989549189127,0.592288555882105,0.219325629917104,2.700498597022,0.00692356290395529,0.287585193109331
Cog3,480.979329753671,0.109078635716874,0.135283222215839,0.806298326800961,0.420070855039948,0.997781340337504
1110019D14Rik,6.9190587967454,-0.356520440763112,0.790569126475536,-0.450966814695292,0.652013466779726,NA
Rps19-ps3,4850.67353172856,-0.0529542300878427,0.0967068308006852,-0.547574867766916,0.583983850151162,0.997781340337504
Nemp2,403.858402026233,0.188030622447861,0.142856401423804,1.31622118836692,0.188099814050078,0.893315935731342
Klhl8,33.7475469273844,-0.381995733112433,0.405036070059125,-0.943115345397931,0.345621907442096,NA
Cd55,1473.61910323197,0.169724190508318,0.132248985708419,1.28336856119656,0.199362982897076,0.901328205704197
Dad1,5804.56391436323,-0.0696351243627657,0.0855695191706743,-0.813784219400294,0.415768576931934,0.997781340337504
Acsl4,1736.64382881937,-0.0103524014061655,0.111945466786989,-0.0924771828935615,0.926318918939498,0.99976360228866
Hspa12a,1.56438505257731,1.21090636424419,2.30276937347229,0.525847867438975,0.59899391310622,NA
Rbms1,755.920042399554,-0.132499611639644,0.178412159811484,-0.742660207575805,0.457687427023672,0.997781340337504
Mrfap1,2430.84540961596,-0.0654085192107584,0.155482605624563,-0.420680621784135,0.673988313330993,0.997781340337504
Gramd3,23686.6975905575,-0.0593670876464357,0.146193395095887,-0.406085976780944,0.684679429089452,0.997781340337504
Tmem35a,1.47181474168933,-2.54741563627942,2.26168201112987,-1.1263367810963,0.26002299478668,NA
Saraf,18697.9932428313,-0.0329737603659013,0.155219193329645,-0.212433524866179,0.831768833516751,0.99976360228866
Lmbr1,27.1072348738433,0.363437623974037,0.470985924293874,0.771652835525651,0.440320072068961,NA
Pigm,382.079987879803,0.147347616383954,0.175554234097609,0.83932818334662,0.40128517207909,0.997227798450438
Slc25a30,264.889822244546,0.261732895360901,0.183604774567354,1.42552336113071,0.154005972147991,0.866261020171423
Haus7,365.169241107668,0.0755191935747756,0.149345478694252,0.505667759312503,0.613089905151007,0.997781340337504
Sfxn1,1062.28136680069,0.00177000818429263,0.107170318154597,0.0165158433302338,0.986822862662282,0.99976360228866
Smc1b,8.04540975366753,-0.877882821410895,0.93246182779934,-0.941467838402292,0.346465163303747,NA
Lrig2,203.490648241239,0.0104591886654665,0.215450651253101,0.0485456349499709,0.961281395860781,0.99976360228866
Thop1,63.4689737505052,-0.0407628996454478,0.297588863017135,-0.136977235075832,0.891048789260409,0.99976360228866
Cwf19l2,596.044612046237,0.0447979163385121,0.156399382541453,0.286432820964869,0.77454663975966,0.999204715898375
Mafk,1618.9033652138,-0.12769122596424,0.13630261981436,-0.936821508920016,0.348850379411408,0.991186195007051
Abcb1a,612.479953470468,0.131252861554709,0.122697177144697,1.06973008352036,0.284740821027464,0.976428119903184
Zfp398,208.013920355473,0.280418236107094,0.182349213376918,1.53780886088862,0.124095356409421,0.810620565858001
Fkbp10,3.59690460535187,0.052331287458196,1.0105394978892,0.0517854943498052,0.958699613874415,NA
